TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS
1/1/2023,25.15,29.33,28.35,74,8888,23.08
1/2/2023,25.78,28.78,28.33,76,2.6,15.72
1/3/2023,24.44,28.61,28.03,81,2.8,15.16
1/4/2023,26.51,28.6,27.74,78,1.58,18.59
1/5/2023,26.9,28.48,27.76,78,2.25,18.09
1/6/2023,24.34,28.12,27.52,82,5.31,18.19
1/7/2023,24.01,28.07,27.64,79,8888,14.92
1/8/2023,23.45,27.82,27.2,83,8.72,6.33
1/9/2023,25.3,26.83,26.55,86,0,16.28
1/10/2023,25.27,27.81,27.01,80,0,10.81
1/11/2023,25.44,28.12,27.34,79,1.75,16.66
1/12/2023,24.72,28.1,27.43,81,2.44,12.89
1/13/2023,24.09,28.92,28.1,78,8888,21.78
1/14/2023,24.87,28.41,28.14,78,0,17.97
1/15/2023,24.55,28.74,28.26,78,2.23,17.18
1/16/2023,25.42,29.24,28.49,77,8888,17
1/17/2023,25.64,28.71,28.22,79,7.41,19.48
1/18/2023,25.16,28.36,27.84,77,12.65,13.55
1/19/2023,26.73,27.71,27.2,80,11.59,16.94
1/20/2023,26.81,28.05,27.4,81,8.22,17.87
1/21/2023,26.83,27.76,27.32,81,10.2,9.49
1/22/2023,24.02,28.64,27.82,78,0,16.1
1/23/2023,26.56,27.29,26.94,85,0,16.67
1/24/2023,23.06,28.15,27.49,80,0,18.58
1/25/2023,23.2,27.28,26.81,86,13.5,11.63
1/26/2023,26.07,26.85,26.47,87,19.4,10.6
1/27/2023,26.42,27.82,27.14,81,4.02,12.34
1/28/2023,26.33,26.98,26.63,86,0,15.38
1/29/2023,26.07,27.11,26.71,85,5.22,13.41
1/30/2023,26.65,27.59,27.05,84,0,16.6
1/31/2023,26.62,27.76,27.3,82,8.59,15.27
2/1/2023,26.52,27.55,27.09,83,15.5,15.97
2/2/2023,26.1,27.23,26.71,84,12.09,15.81
2/3/2023,25.98,27.99,26.98,78,3.41,13.82
2/4/2023,26.36,28.37,27.38,79,8.2,19.5
2/5/2023,26.54,27.96,27.25,84,0,15.14
2/6/2023,26.65,27.71,27.16,82,5.27,13.46
2/7/2023,26.82,28.32,27.54,79,1.9,15.64
2/8/2023,26.64,27.92,27.29,82,4.42,19.35
2/9/2023,26.53,28.9,27.59,77,2.09,12.27
2/10/2023,26.75,28.19,27.52,83,8888,18.68
2/11/2023,24.14,28.23,27.8,85,8.07,19.92
2/12/2023,26.92,27.63,27.21,81,8.16,8.59
