scenario,method,features,n_features,train_rmse,train_mae,valid_rmse,valid_mae,test_rmse,test_mae
RR_only,Baseline,['RR'],1,5.861334800720215,4.536837577819824,7.783897876739502,6.438883304595947,7.091486930847168,5.55928373336792
RR_only,Bayesian,['RR'],1,5.986415863037109,4.747043132781982,7.812146186828613,6.461061477661133,7.000375270843506,5.587244033813477
RR_only,Hyperband,['RR'],1,5.858888626098633,4.62711763381958,7.818111419677734,6.639795780181885,7.450838565826416,5.990274906158447
RR_only,BOHB,['RR'],1,6.012461185455322,4.436728000640869,8.031503677368164,6.56224250793457,7.2152886390686035,5.299473285675049
RR_RHAVG,Baseline,"['RR', 'RH_AVG']",2,5.828617095947266,4.572507858276367,7.675595760345459,6.446437358856201,6.98758602142334,5.826946258544922
RR_RHAVG,Bayesian,"['RR', 'RH_AVG']",2,5.8864617347717285,4.641420364379883,7.73568058013916,6.445755481719971,6.969110488891602,5.7405219078063965
RR_RHAVG,Hyperband,"['RR', 'RH_AVG']",2,5.897542953491211,4.8001909255981445,7.653451442718506,6.652770042419434,7.276861190795898,6.36543083190918
RR_RHAVG,BOHB,"['RR', 'RH_AVG']",2,5.921966075897217,4.588156223297119,7.77447509765625,6.525175094604492,6.992135047912598,5.865667343139648
RR_RHAVG_SS,Baseline,"['RR', 'RH_AVG', 'SS']",3,5.814830780029297,4.539529323577881,7.719992637634277,6.485113143920898,7.021346569061279,5.798129081726074
RR_RHAVG_SS,Bayesian,"['RR', 'RH_AVG', 'SS']",3,5.922322750091553,4.712355136871338,7.760279655456543,6.4758477210998535,6.971429347991943,5.7462921142578125
RR_RHAVG_SS,Hyperband,"['RR', 'RH_AVG', 'SS']",3,6.014857769012451,5.001198768615723,7.760776996612549,6.791790962219238,7.281158924102783,6.381581783294678
RR_RHAVG_SS,BOHB,"['RR', 'RH_AVG', 'SS']",3,5.967187404632568,4.653507232666016,7.788938522338867,6.500110626220703,6.926319599151611,5.77379035949707
ALL_6,Baseline,"['TN', 'TX', 'TAVG', 'RH_AVG', 'RR', 'SS']",6,5.734869003295898,4.560515880584717,7.639053821563721,6.579868316650391,7.027153491973877,5.967890739440918
ALL_6,Bayesian,"['TN', 'TX', 'TAVG', 'RH_AVG', 'RR', 'SS']",6,5.718778133392334,4.526097297668457,7.631556987762451,6.537889003753662,7.088475704193115,6.024887561798096
ALL_6,Hyperband,"['TN', 'TX', 'TAVG', 'RH_AVG', 'RR', 'SS']",6,5.774942874908447,4.679808139801025,7.680930137634277,6.712949275970459,7.198756217956543,6.22031831741333
ALL_6,BOHB,"['TN', 'TX', 'TAVG', 'RH_AVG', 'RR', 'SS']",6,5.960263252258301,4.750245094299316,7.717573642730713,6.446536540985107,6.944584846496582,5.750616550445557
METEO_3,Baseline,"['RH_AVG', 'SS', 'TAVG']",3,5.837162494659424,4.602749347686768,7.7851715087890625,6.4796319007873535,7.048915863037109,6.232447147369385
METEO_3,Bayesian,"['RH_AVG', 'SS', 'TAVG']",3,6.081033706665039,4.844414710998535,7.82325553894043,6.495550155639648,6.995850086212158,6.002462387084961
METEO_3,Hyperband,"['RH_AVG', 'SS', 'TAVG']",3,6.199488162994385,5.240388870239258,7.702482223510742,6.700778007507324,7.2297043800354,6.57631778717041
METEO_3,BOHB,"['RH_AVG', 'SS', 'TAVG']",3,6.182171821594238,4.884952068328857,7.970848083496094,6.460320949554443,6.97639799118042,5.806520938873291
METEO_4,Baseline,"['TN', 'TX', 'RH_AVG', 'SS']",4,5.8482232093811035,4.708025932312012,7.660803318023682,6.645267963409424,7.174594402313232,6.437521457672119
METEO_4,Bayesian,"['TN', 'TX', 'RH_AVG', 'SS']",4,6.025373935699463,4.8704328536987305,7.72294282913208,6.605184555053711,7.0843095779418945,6.192922592163086
METEO_4,Hyperband,"['TN', 'TX', 'RH_AVG', 'SS']",4,5.956550121307373,4.9070963859558105,7.659894943237305,6.764561176300049,7.300741195678711,6.633028507232666
METEO_4,BOHB,"['TN', 'TX', 'RH_AVG', 'SS']",4,6.067756652832031,4.876299858093262,7.734241008758545,6.514445781707764,7.0501556396484375,6.043682098388672
METEO_5,Baseline,"['RH_AVG', 'RR', 'SS', 'TAVG']",4,5.731485366821289,4.4690260887146,7.6971049308776855,6.408969402313232,6.979123115539551,5.677972793579102
METEO_5,Bayesian,"['RH_AVG', 'RR', 'SS', 'TAVG']",4,5.82145881652832,4.565276145935059,7.722674369812012,6.4657368659973145,6.991872310638428,5.771047592163086
METEO_5,Hyperband,"['RH_AVG', 'RR', 'SS', 'TAVG']",4,6.054425239562988,5.0694074630737305,7.653414249420166,6.686708927154541,7.168837070465088,6.283342361450195
METEO_5,BOHB,"['RH_AVG', 'RR', 'SS', 'TAVG']",4,5.940865516662598,4.666929721832275,7.8032355308532715,6.47551965713501,6.887008190155029,5.648658752441406
METEO_6,Baseline,"['TN', 'TX', 'RH_AVG', 'RR', 'SS']",5,5.667591571807861,4.45396614074707,7.607603073120117,6.569584369659424,7.073375225067139,6.037942886352539
METEO_6,Bayesian,"['TN', 'TX', 'RH_AVG', 'RR', 'SS']",5,5.796846389770508,4.611264705657959,7.653843402862549,6.513427734375,7.012307167053223,5.888698101043701
METEO_6,Hyperband,"['TN', 'TX', 'RH_AVG', 'RR', 'SS']",5,5.980534553527832,4.925560474395752,7.669441223144531,6.69072151184082,7.075246810913086,6.154338359832764
METEO_6,BOHB,"['TN', 'TX', 'RH_AVG', 'RR', 'SS']",5,5.953887939453125,4.755431652069092,7.672586441040039,6.501026153564453,6.963902473449707,5.838313102722168
