TANGGAL,TN,RR,RH_AVG,TAVG,TX,SS
2023-01-01,25.15,2.6,74.0,28.35,29.33,9.4
2023-01-02,25.78,2.6,76.0,28.33,28.78,9.0
2023-01-03,24.44,2.8,81.0,28.03,28.61,0.3
2023-01-04,26.51,1.58,78.0,27.74,28.6,6.7
2023-01-05,26.9,2.25,78.0,27.76,28.48,2.8
2023-01-06,24.34,5.31,82.0,27.52,28.12,9.3
2023-01-07,24.01,7.015000000000001,79.0,27.64,28.07,7.7
2023-01-08,23.45,8.72,83.0,27.2,27.82,5.5
2023-01-09,25.3,0.0,86.0,26.55,26.83,5.1
2023-01-10,25.27,0.0,80.0,27.01,27.81,7.1
2023-01-11,25.44,1.75,79.0,27.34,28.12,0.0
2023-01-12,24.72,2.44,81.0,27.43,28.1,2.5
2023-01-13,24.09,1.22,78.0,28.1,28.92,8.3
2023-01-14,24.87,0.0,78.0,28.14,28.41,3.2
2023-01-15,24.55,2.23,78.0,28.26,28.74,8.0
2023-01-16,25.42,4.82,77.0,28.49,29.24,0.0
2023-01-17,25.64,7.41,79.0,28.22,28.71,2.9
2023-01-18,25.16,12.65,77.0,27.84,28.36,1.2
2023-01-19,26.73,11.59,80.0,27.2,27.71,0.6
2023-01-20,26.81,8.22,81.0,27.4,28.05,6.0
2023-01-21,26.83,10.2,81.0,27.32,27.76,7.3
2023-01-22,24.02,0.0,78.0,27.82,28.64,0.8
2023-01-23,26.56,0.0,85.0,26.94,27.29,1.8
2023-01-24,23.06,0.0,80.0,27.49,28.15,4.2
2023-01-25,23.2,13.5,86.0,26.81,27.28,7.4
2023-01-26,26.07,19.4,87.0,26.47,26.85,2.1
2023-01-27,26.42,4.02,81.0,27.14,27.82,0.3
2023-01-28,26.33,0.0,86.0,26.63,26.98,5.5
2023-01-29,26.07,5.22,85.0,26.71,27.11,8.0
2023-01-30,26.65,0.0,84.0,27.05,27.59,8.7
2023-01-31,26.62,8.59,82.0,27.3,27.76,9.6
2023-02-01,26.52,15.5,83.0,27.09,27.55,6.3
