TANGGAL,RH_AVG,TX,TAVG,SS,RR,TN
2023-01-01,74.0,29.33,28.35,9.4,,25.15
2023-01-02,76.0,28.78,28.33,9.0,2.6,25.78
2023-01-03,81.0,28.61,28.03,0.3,2.8,24.44
2023-01-04,78.0,28.6,27.74,6.7,1.58,26.51
2023-01-05,78.0,28.48,27.76,2.8,2.25,26.9
2023-01-06,82.0,28.12,27.52,9.3,5.31,24.34
2023-01-07,79.0,28.07,27.64,7.7,,24.01
2023-01-08,83.0,27.82,27.2,5.5,8.72,23.45
2023-01-09,86.0,27.2729,26.55,5.1,0.0,25.3
2023-01-10,80.0,27.81,27.01,7.1,0.0,25.27
2023-01-11,79.0,28.12,27.34,0.0,1.75,25.44
2023-01-12,81.0,28.1,27.43,2.5,2.44,24.72
2023-01-13,78.0,28.92,28.1,8.3,,24.09
2023-01-14,78.0,28.41,28.14,3.2,0.0,24.87
2023-01-15,78.0,28.74,28.26,8.0,2.23,24.55
2023-01-16,77.0,29.24,28.49,0.0,,25.42
2023-01-17,79.0,28.71,28.22,2.9,7.41,25.64
2023-01-18,77.0,28.36,27.84,1.2,12.65,25.16
2023-01-19,80.0,27.71,27.2,0.6,11.59,26.73
2023-01-20,81.0,28.05,27.4,6.0,8.22,26.81
2023-01-21,81.0,27.76,27.32,7.3,10.2,26.83
2023-01-22,78.0,28.64,27.82,0.8,0.0,24.02
2023-01-23,85.0,27.29,26.94,1.8,0.0,26.56
2023-01-24,80.0,28.15,27.49,4.2,0.0,23.0684
2023-01-25,86.0,27.28,26.81,7.4,13.5,23.2
2023-01-26,87.0,27.2729,26.47,2.1,19.4,26.07
2023-01-27,81.0,27.82,27.14,0.3,4.02,26.42
2023-01-28,86.0,27.2729,26.63,5.5,0.0,26.33
2023-01-29,85.0,27.2729,26.71,8.0,5.22,26.07
2023-01-30,84.0,27.59,27.05,8.7,0.0,26.65
2023-01-31,82.0,27.76,27.3,9.6,8.59,26.62
2023-02-01,83.0,27.55,27.09,6.3,15.5,26.52
2023-02-02,84.0,27.2729,26.71,8.6,12.09,26.1
2023-02-03,78.0,27.99,26.98,6.8,3.41,25.98
2023-02-04,79.0,28.37,27.38,4.0,8.2,26.36
2023-02-05,84.0,27.96,27.25,5.2,0.0,26.54
2023-02-06,82.0,27.71,27.16,3.7,5.27,26.65
2023-02-07,79.0,28.32,27.54,2.4,1.9,26.82
2023-02-08,82.0,27.92,27.29,9.7,4.42,26.64
2023-02-09,77.0,28.9,27.59,9.7,2.09,26.53
2023-02-10,83.0,28.19,27.52,4.3,,26.75
2023-02-11,85.0,28.23,27.8,8.9,8.07,24.14
2023-02-12,81.0,27.63,27.21,1.1,8.16,26.92
2023-02-13,84.0,27.68,26.96,1.6,10.23,26.15
2023-02-14,80.0,28.16,27.27,0.4,,26.26
2023-02-15,79.0,28.57,27.59,0.5,,26.75
2023-02-16,81.0,27.71,27.25,4.3,13.33,26.72
2023-02-17,84.0,27.9,27.22,4.1,5.27,26.75
2023-02-18,84.0,27.48,27.21,4.6,5.58,27.0
2023-02-19,85.0,27.74,27.41,7.4,7.05,26.84
2023-02-20,87.0,27.51,27.16,9.7,,26.78
2023-02-21,81.0,28.49,27.83,9.0,4.79,26.99
2023-02-22,87.0,28.05,27.23,9.7,8.08,26.91
2023-02-23,86.0,27.71,27.19,9.5,8.54,26.65
2023-02-24,85.0,27.73,27.26,9.7,10.57,26.7
2023-02-25,83.0,27.28,27.09,9.2,0.0,26.8
2023-02-26,82.0,27.7,27.23,6.8,0.0,26.6
2023-02-27,83.0,28.36,27.42,8.6,12.22,26.54
2023-02-28,88.0,27.32,26.88,8.5,21.85,26.28
2023-03-01,83.0,27.2729,26.4,7.9,,25.72
2023-03-02,77.0,28.39,27.21,9.7,0.0,25.87
2023-03-03,82.0,27.53,27.22,9.6,7.03,26.82
2023-03-04,83.0,27.54,27.13,4.1,7.46,26.29
2023-03-05,83.0,27.6,26.63,6.8,6.11,25.79
2023-03-06,82.0,27.55,27.07,4.5,,26.19
2023-03-07,82.0,27.91,27.49,4.9,5.45,26.98
2023-03-08,84.0,28.27,27.64,2.0,8.58,26.99
2023-03-09,83.0,28.13,27.62,8.4,6.41,26.91
2023-03-10,79.0,28.61,27.86,3.5,4.62,24.09
2023-03-11,79.0,28.43,27.91,5.4,,24.37
2023-03-12,83.0,28.29,27.59,1.0,12.54,25.15
2023-03-13,82.0,27.2729,26.85,0.0,19.42,26.44
2023-03-14,81.0,27.37,26.71,5.4,0.0,26.14
2023-03-15,80.0,27.5,27.0,6.8,9.28,26.39
2023-03-16,82.0,28.08,27.63,1.5,6.5,27.0937
2023-03-17,83.0,28.22,27.71,8.3,5.21,27.0937
2023-03-18,79.0,28.38,27.94,5.5,4.41,27.0937
2023-03-19,79.0,28.78,28.3,7.5,1.55,27.0937
2023-03-20,80.0,28.32,28.17,3.6,5.92,27.0937
2023-03-21,79.0,28.93,28.13,6.6,4.54,27.0937
2023-03-22,80.0,28.78,28.04,2.3,4.05,27.0937
2023-03-23,84.0,28.18,27.66,4.2,0.0,26.92
2023-03-24,81.0,29.01,28.29,1.1,0.0,24.51
2023-03-25,85.0,28.25,27.91,2.6,0.0,24.69
2023-03-26,85.0,27.6,26.99,6.4,0.0,26.71
2023-03-27,83.0,28.42,27.47,9.5,0.0,26.72
2023-03-28,79.0,28.01,27.31,9.7,0.0,26.51
2023-03-29,74.0,28.82,28.13,9.6,1.85,27.0937
2023-03-30,81.0,27.98,27.48,6.5,6.08,27.07
2023-03-31,82.0,27.63,27.05,0.0,17.91,26.27
2023-04-01,82.0,27.91,27.2,2.3,10.07,26.43
2023-04-02,86.0,27.2729,26.63,9.7,6.29,25.96
2023-04-03,77.0,28.88,27.93,4.4,11.2,26.91
2023-04-04,83.0,27.52,27.02,1.4,44.94,26.4
2023-04-05,81.0,27.52,26.92,7.2,2.17,26.2
2023-04-06,77.0,28.49,27.83,9.1,,24.32
2023-04-07,83.0,27.28,26.72,9.7,22.23,26.0
2023-04-08,77.0,28.63,27.81,9.4,5.12,26.79
2023-04-09,78.0,28.35,27.83,8.1,5.55,25.03
2023-04-10,84.0,28.07,27.65,6.7,14.08,26.82
2023-04-11,82.0,28.37,28.06,3.5,,25.6
2023-04-12,78.0,29.1,28.65,7.8,,25.98
2023-04-13,80.0,29.4,28.73,6.1,5.65,25.99
2023-04-14,85.0,28.4,28.06,7.0,7.86,24.75
2023-04-15,82.0,28.29,27.99,9.7,,24.6
2023-04-16,83.0,28.33,27.97,9.7,5.13,24.44
2023-04-17,81.0,28.72,28.15,0.0,3.17,25.7
2023-04-18,81.0,28.77,28.26,6.2,0.0,24.65
2023-04-19,83.0,28.59,28.2,9.7,6.53,26.87
2023-04-20,79.0,28.94,28.53,7.5,4.08,26.94
2023-04-21,82.0,28.78,28.38,8.0,0.0,26.06
2023-04-22,82.0,28.75,28.36,5.9,8.28,25.04
2023-04-23,78.0,29.22,28.81,7.8,1.71,25.25
2023-04-24,79.0,29.36,28.88,4.8,7.76,24.31
2023-04-25,81.0,28.6,28.39,8.1,,24.09
2023-04-26,76.0,29.49,28.86,1.0,1.21,25.25
2023-04-27,80.0,29.52,28.92,7.9,2.31,25.34
2023-04-28,83.0,29.11,28.72,6.0,,26.19
2023-04-29,82.0,28.69,28.27,6.9,6.15,26.01
2023-04-30,83.0,28.17,27.96,5.3,7.06,24.77
2023-05-01,80.0,28.76,28.33,0.5,4.25,24.73
2023-05-02,79.0,29.18,28.71,9.6,1.13,24.35
2023-05-03,81.0,29.0,28.55,0.0,1.26,24.11
2023-05-04,82.0,29.31,28.76,5.3,0.0,
2023-05-05,82.0,29.35,28.93,0.0,2.45,26.67
2023-05-06,85.0,29.32,28.61,4.8,5.36,26.27
2023-05-07,85.0,29.09,28.51,1.8,8.11,24.05
2023-05-08,81.0,29.06,28.38,4.9,6.56,24.64
2023-05-09,80.0,28.84,28.39,6.6,7.59,24.86
2023-05-10,81.0,28.74,28.16,3.1,8.01,25.65
2023-05-11,78.0,29.61,28.93,1.0,,
2023-05-12,84.0,29.44,28.94,9.7,6.96,
2023-05-13,85.0,29.57,28.86,4.2,7.41,25.02
2023-05-14,84.0,28.83,28.5,0.3,8.43,24.35
2023-05-15,83.0,28.74,28.31,9.7,6.16,25.74
2023-05-16,85.0,28.36,28.04,8.0,,25.79
2023-05-17,80.0,28.54,28.05,4.1,6.69,26.49
2023-05-18,84.0,28.75,28.33,8.1,8.41,24.04
2023-05-19,85.0,28.12,27.87,3.2,7.32,26.53
2023-05-20,83.0,28.47,28.05,6.5,2.18,26.63
2023-05-21,85.0,28.62,28.17,3.2,3.51,26.77
2023-05-22,84.0,28.4,28.05,2.2,,26.68
2023-05-23,84.0,28.57,28.14,5.6,,26.81
2023-05-24,87.0,28.11,27.85,0.8,11.96,26.68
